run_date,term,author,posts
2026-06-22,abc,ABC News (Australia),6
2026-06-22,abc,abc.net.au,2
2026-06-22,abc,The Pulse Report,1
2026-06-22,abc news,ABC News (Australia),6
2026-06-22,abc news,abc.net.au,2
2026-06-22,accountable,Adam Allred Official,1
2026-06-22,accountable,Russell Brand,1
2026-06-22,accountable,nationaltribune.com.au,1
2026-06-22,actually,Dr. Gina Nick,1
2026-06-22,actually,Retro’s Bushcraft Uncovered,1
2026-06-22,actually,Agelesssociety,1
2026-06-22,actually,myPediaclinic,1
2026-06-22,actually,Internet MythBusters,1
2026-06-22,actually,Straight Up Reviews,1
2026-06-22,actually,Rest is History ,1
2026-06-22,added,Dr. Gina Nick,1
2026-06-22,added,The Sunken Timeline,1
2026-06-22,added,Brenda Staudenmaier,1
2026-06-22,added,Voting Matters,1
2026-06-22,adult,emphn.org.au,2
2026-06-22,adult,AcornAl,1
2026-06-22,adults,NOBS,1
2026-06-22,adults,FluorideScience,1
2026-06-22,adults,PLUTO_HAS_COME_BACK,1
2026-06-22,adults,miragenews.com,1
2026-06-22,adults,mvec.mcri.edu.au,1
2026-06-22,advice,Monica Robins,1
2026-06-22,advice,Fit Arshia,1
2026-06-22,advice,loopfission,1
2026-06-22,advice,healthhub.hif.com.au,1
2026-06-22,advice,nationaltribune.com.au,1
2026-06-22,advice,earlychildhood.qld.gov.au,1
2026-06-22,affect,Science of Eating,2
2026-06-22,affect,American Voices Unfiltered,1
2026-06-22,ahead,dpird.nsw.gov.au,2
2026-06-22,ahead,newshub.medianet.com.au,1
2026-06-22,ahead,racgp.org.au,1
2026-06-22,alerts,msn.com,2
2026-06-22,alerts,travelvax.com.au,1
2026-06-22,almost,GJhogfarm,2
2026-06-22,almost,nine.com.au,2
2026-06-22,almost,WILD FACT DAILY,1
2026-06-22,almost,ElFrameRoll,1
2026-06-22,almost,Channel 4 News,1
2026-06-22,alternative,Dr. Thornburg Wellness,1
2026-06-22,alternative,American Academy of Pediatrics,1
2026-06-22,alternative,thehealthybelly,1
2026-06-22,alternative,Nick Conte,1
2026-06-22,alternative,Quentin & Vanessa Jiles,1
2026-06-22,alternative,JOWMA,1
2026-06-22,alternative,Natasha Zarich,1
2026-06-22,alternative,Whole Family Medicine,1
2026-06-22,alternative,KPBS Public Media,1
2026-06-22,alternative,The Health Spot With Omar Podcast,1
2026-06-22,alternative,NOBS,1
2026-06-22,alternative,nationaltribune.com.au,1
2026-06-22,alternative vaccine,Dr. Thornburg Wellness,1
2026-06-22,alternative vaccine,American Academy of Pediatrics,1
2026-06-22,alternative vaccine,thehealthybelly,1
2026-06-22,alternative vaccine,Quentin & Vanessa Jiles,1
2026-06-22,alternative vaccine,Natasha Zarich,1
2026-06-22,alternative vaccine,Whole Family Medicine,1
2026-06-22,alternative vaccine,KPBS Public Media,1
2026-06-22,amid,msn.com,1
2026-06-22,amid,couriermail.com.au,1
2026-06-22,amid,goldcoastbulletin.com.au,1
2026-06-22,amid,miragenews.com,1
2026-06-22,analysis,WillowOfTheWisp,14
2026-06-22,analysis,studocu.com,1
2026-06-22,andrew,wamnnews.com.au,2
2026-06-22,andrew,Dental Designs Clinic,1
2026-06-22,annual,Shihtzufamily ,1
2026-06-22,annual,The Midnight Pharmacy,1
2026-06-22,annual,TerryWhite Chemmart Paragon ,1
2026-06-22,annual,findanexpert.unimelb.edu.au,1
2026-06-22,another,nine.com.au,2
2026-06-22,another,BOL News,1
2026-06-22,another,loopfission,1
2026-06-22,another,Robertos1987,1
2026-06-22,another,msn.com,1
2026-06-22,another,au.finance.yahoo.com,1
2026-06-22,approves,PLUTO_HAS_COME_BACK,1
2026-06-22,approves,miragenews.com,1
2026-06-22,approves,m.au.investing.com,1
2026-06-22,australia's,Toxic Fluoride,1
2026-06-22,australia's,Voting Matters,1
2026-06-22,australia's,Sukhpreet Singh,1
2026-06-22,australia's,MelodyTV,1
