Keywords,How often,Sources,Language,Region,How many,Deliver to,RSS Link
fluoridation,As-it-happens,Automatic,Any Language,Australia,All results,RSS feed,https://www.google.com.au/alerts/feeds/09388527107749816884/7445478313289886655
fluoride,As-it-happens,Automatic,Any Language,Australia,All results,RSS feed,https://www.google.com.au/alerts/feeds/09388527107749816884/5903418040278885156
fluoride free australia,As-it-happens,Automatic,Any Language,Any Region,All results,RSS feed,https://www.google.com.au/alerts/feeds/09388527107749816884/6913395955357446698
fluoride water filter,As-it-happens,Automatic,Any Language,Australia,All results,RSS feed,https://www.google.com.au/alerts/feeds/09388527107749816884/12684380247627794735
fluoride byproduct,As-it-happens,Automatic,English,Australia,All results,RSS feed,https://www.google.com.au/alerts/feeds/09388527107749816884/17256121286092057668
fluoride thyroid,As-it-happens,Automatic,Any Language,Australia,All results,RSS feed,https://www.google.com.au/alerts/feeds/09388527107749816884/15910790920253238970
mass medication,As-it-happens,Automatic,Any Language,Australia,All results,RSS feed,https://www.google.com.au/alerts/feeds/09388527107749816884/7354230815358478819
vaccination,As-it-happens,Automatic,English,Australia,All results,RSS feed,https://www.google.com.au/alerts/feeds/09388527107749816884/7335479424844058582
vaccine,As-it-happens,Automatic,Any Language,Australia,All results,RSS feed,https://www.google.com.au/alerts/feeds/09388527107749816884/11084421339038414626
selective vaccine schedule,As-it-happens,Automatic,Any Language,Australia,All results,RSS feed,https://www.google.com.au/alerts/feeds/09388527107749816884/12099889153703898966
pharma vaccine lying,As-it-happens,Automatic,Any Language,Australia,All results,RSS feed,https://www.google.com.au/alerts/feeds/09388527107749816884/634493464663395369
vaccine autism parent group,As-it-happens,Automatic,Any Language,Australia,All results,RSS feed,https://www.google.com.au/alerts/feeds/09388527107749816884/5492107041044113794
vaccine death data,As-it-happens,Automatic,Any Language,Australia,All results,RSS feed,https://www.google.com.au/alerts/feeds/09388527107749816884/5492107041044114859
vaccine less than natural immunity,As-it-happens,Automatic,Any Language,Australia,All results,RSS feed,https://www.google.com.au/alerts/feeds/09388527107749816884/15375409567121445346
